Feature,RF_Regression,RF_Classification,XGB
NormClose,0.0864787516725235,0.06850497923060177,0.09736507654238502
Vol_MA_20,0.08061016482521952,0.05771259993413971,0.08231959039477678
Vol_Std_20,0.07982145420734404,0.062308858225461373,0.07556208758522547
MACD,0.06867364173527381,0.05753631344396705,0.05945386918293096
VN_Index_Volatility,0.0593349890611058,0.052983179413678784,0.04452505051668166
ALR2M,0.0583844901297516,0.05493471137183809,0.06242350707008102
RSI,0.04069638320813627,0.046080990538803955,0.035150106686206606
Vol_Lag_10,0.04026592988910743,0.04756413577156375,0.028675264244005294
Vol_Lag_5,0.03995219557862556,0.04382278248922665,0.032993410137959
Vol_Lag_1,0.039077601469299325,0.04639969009837865,0.03459162295111497
roe,0.03679934451359161,0.03147791038482736,0.054153993484966814
ALR2W,0.03678023200910018,0.04344896289862924,0.027934355035592235
ALR1M,0.03499115731976303,0.04694111237365787,0.024205158463836095
Inflation_YoY,0.03391361484163873,0.02200503814472277,0.032402485928657576
pb_ratio,0.03263840150915367,0.031279065567352334,0.04083663024345732
ALR1W,0.0323663747290928,0.04080333053526794,0.024182956228331595
beta,0.03140897202507154,0.028500098231813147,0.04426064664818445
debt_to_equity,0.02839659597095931,0.028967735010194753,0.04476353970321011
market_cap,0.028295370539320155,0.0275666749877154,0.03895805047040201
pe_ratio,0.02351992657442735,0.027172633048982073,0.03956915844346299
roa,0.0232578838038362,0.023501892073049386,0.030398800289541682
VN_Index_Return,0.01587357722349353,0.024586836658463177,0.003629190764975135
Interbank_Rate,0.015384244595366843,0.0273895783319298,0.00894094134055974
DailyLogReturn,0.01536878413214339,0.030290226629166587,0.017888733519664912
USD_VND_Change,0.012448516862938684,0.024665683936604812,0.006115463844473689
Policy_Rate,0.005261401573716063,0.0035549806699637396,0.008700310279316998
